artist_name,artist_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration,popularity,count,
Frank Sinatra,792507,-1.189508499,-1.607974419,-0.902704743,-0.530826223,-1.032383648,0.466457844,-0.145902618,1.329878647,-0.477280587,0.313300783,-0.266036503,-0.683149788,-1.027442264,17.15502141,
Vladimir Horowitz,119107,-1.494751398,-2.159443429,-1.593355617,-1.328008089,-3.167257091,0.466457844,-1.282879964,2.192911883,3.200033709,-0.102303399,-0.348876583,0.241526326,-2.721676257,15.07336924,
Johnny Cash,816890,0.551060962,-0.629888205,0.6767964,-0.277495341,-0.391597677,0.466457844,1.275319064,1.160233664,-0.469607919,0.400539269,0.377696993,-1.0046856,-0.98134843,13.74984966,
Billie Holiday,79016,0.202193269,-1.77756577,-0.230482132,-0.544886915,-0.782299957,0.466457844,-0.145902618,1.916209735,-0.510648321,0.189559019,-0.096267801,-0.731540012,-1.812373033,13.63420232,
Bob Dylan,66915,-0.241878809,-0.497769315,0.034117324,0.302739311,-0.293788355,0.466457844,0.422586055,0.74276387,-0.420079529,0.97485074,-0.068412053,0.124058604,-0.660321289,13.5956532,
The Rolling Stones,894465,-0.154242774,0.622003591,0.550333435,0.177774138,0.508753922,0.466457844,-1.5671243,-0.168968189,0.187739002,0.626018778,-0.241855589,-0.198753755,-0.379629204,12.86322003,
The Beach Boys,41874,-0.313279083,-0.246965363,0.443617269,0.293969169,0.007359497,0.466457844,0.991074728,0.186188077,-0.07253573,-0.038818976,-0.340786437,-1.165260392,-0.879777866,12.33638214,
Elvis Presley,180228,-0.365803003,-0.736660449,0.380177209,-0.46260311,-0.702804369,0.466457844,-1.5671243,1.34942964,-0.336946595,0.444456618,-0.151278344,-1.077217426,-0.468981949,12.28498332,
Wolfgang Amadeus Mozart,26350,-1.419775333,-2.071404988,-1.071248138,-0.613114013,-2.444848881,0.466457844,0.422586055,2.096243199,1.612765683,-0.059140921,-0.016094556,0.9964811,-2.317722921,11.61679868,
Miles Davis,423829,-0.629285488,-1.283070037,-0.635246206,-0.355088378,-1.093513079,-2.143826677,-1.5671243,1.058720522,0.311661679,0.207071343,-0.200383245,1.884812863,-1.277219355,10.66592053,
Ella Fitzgerald,184502,-0.858252996,-1.591220213,-0.768867554,-0.589187805,-0.787673835,0.466457844,-1.5671243,1.658119651,-0.544927028,0.151994501,-0.121961735,-0.397256087,-1.376929313,10.65307082,
Dean Martin,813392,-0.582971272,-1.693085414,-0.350746605,-0.479073343,-1.081282949,0.466457844,0.422586055,1.774069101,-0.455464749,-0.142101876,-0.344116146,-1.024091458,-1.535704561,10.5888223,
Queen,858827,-0.637463624,0.078715826,-0.557663505,-0.192529678,0.030530369,0.466457844,-0.998635627,-0.204931225,-0.430651109,0.626693589,0.01771098,-0.172921489,-0.532794174,10.5888223,
Lata Mangeshkar,132940,-0.332394719,-1.308837418,0.518721917,-0.257663281,-0.561468574,0.466457844,-1.282879964,2.043371659,0.557244218,0.107836859,0.208283179,-0.383587703,-2.684142535,10.55027318,
Glenn Gould,803752,-1.370585274,-1.681155099,0.49296993,-0.527708834,-2.910210897,0.466457844,0.422586055,2.159821177,3.143655979,-0.486117754,-0.295134715,-0.65045544,-1.588140344,10.24188027,
The Beatles,754032,-0.172518817,-0.178958936,0.372239331,0.037443455,0.065514265,0.466457844,-1.5671243,0.056838304,-0.344299221,0.234951265,-0.215960026,-0.860911179,0.639907573,10.13908263,
Fleetwood Mac,182900,0.239392226,-0.315705086,0.313500854,0.152649253,-0.482632338,0.466457844,0.991074728,0.054838484,-0.008400779,0.414304742,-0.374864384,-0.065065888,-0.35691604,9.792140607,
Led Zeppelin,139026,-0.915220932,0.47821932,-0.195269226,-0.076678472,-0.058817642,0.466457844,-0.998635627,-0.407268572,0.111866719,0.263621687,-0.101054119,0.965205295,0.137685567,8.250176041,
Bob Marley & the Wailers,69402,1.461130799,-0.175325261,1.019645447,-0.003044687,0.069568474,0.466457844,0.991074728,-0.472713765,-0.444615169,0.809884518,1.10413306,0.32466519,0.267319797,7.350696711,
Nina Simone,411761,-0.74581821,-1.175453008,-0.452301338,-0.306540983,-0.818668519,0.466457844,0.991074728,1.480116275,-0.401828779,0.813528279,-0.152639113,-0.157919627,-0.825567099,6.875257637,
Elton John,796734,-0.159263269,0.002352851,-0.071143285,0.400969763,0.071975292,0.466457844,-1.5671243,0.024961387,-0.517163066,0.229798976,-0.361843576,0.390250906,-0.11371373,6.862407932,
Stevie Wonder,622805,0.101127041,-0.27692571,0.353941463,-0.341661419,-0.495246039,0.466457844,-1.282879964,-0.001318507,-0.458989717,-0.107497074,-0.199668265,0.00504655,-0.386678436,6.541165314,
Marvin Gaye,316834,-0.02962128,-0.130525877,0.522539071,-0.219485852,-0.185794456,-2.143826677,-1.5671243,0.270163524,0.0203946,0.301722444,-0.262068371,-0.178395719,-0.54505391,6.528315609,
Leonard Bernstein,239859,-1.63852142,-1.729564299,-1.529946301,-0.793587794,-2.246063946,0.466457844,-0.145902618,1.804013874,1.600480377,0.272180353,0.207964159,1.012912211,-2.173854231,6.515465905,
The Who,577627,-0.541902744,0.640102985,-0.205992172,0.359282355,0.271693446,0.466457844,-0.998635627,-0.406065254,-0.269414655,0.488706067,-0.094686649,-0.07599051,-0.742906189,6.219922696,
Willie Nelson,583959,0.130816627,-0.978231939,-0.231583694,-0.262318053,-0.708511598,0.466457844,-0.998635627,0.894772035,-0.410334762,0.139902745,-0.317937377,-0.666605556,-0.58858904,6.181373582,
Grateful Dead,988440,0.098750533,-0.313136742,0.423035037,0.015650839,-0.503526641,0.466457844,0.991074728,0.319734793,0.008490994,1.133803382,-0.323284662,1.093075596,-0.543995484,6.155674173,
John Coltrane,175553,-0.63031784,-1.061252934,-0.561377304,-0.208267142,-0.775499122,0.466457844,-1.5671243,1.14523922,0.056953747,-0.153095723,-0.217111219,2.215541336,-1.275175174,6.06572624,
Thelonious Monk,490416,0.017409527,-1.383110708,-0.725300035,-0.362094471,-1.044431572,0.466457844,-0.145902618,1.612211116,1.563940548,-0.447702358,-0.133836874,0.576118525,-1.595736317,5.872980669,
Vicente FernÃ¡ndez,197424,-0.567222988,-0.859458764,0.143895607,-0.22728129,0.633113284,0.466457844,0.422586055,0.747744824,-0.546991537,0.463575602,-0.368225457,-0.733183877,-0.132383298,5.847281259,
Oscar Peterson,489316,0.085418254,-1.92174938,-0.750068882,-0.89870441,-2.332427665,0.466457844,-1.5671243,1.983592507,2.716699199,-0.615288064,-0.295842384,-0.413434223,-1.878922326,5.757333326,
Metallica,446509,-1.362668439,1.473426946,-1.028648203,0.246292647,0.875081208,0.466457844,-0.430146954,-1.097487412,0.410016013,1.300647969,0.400044517,1.4771024,0.032778852,5.680235098,
